Index,test_case,FDA,ChatGPT,match_chatgpt,Claude,match_claude
0,Anemia,"['claviceps', 'can', 'clavatum', 'kali', 'alfalfa', 'sativa', 'vulgaris', 'hexahydrate', 'purpurea', 'sclerotium', 'hydrastis', 'uranyl', 'china', 'acid', 'calc', 'citrate', 'ferr', 'phosphoric', 'lycopodium', 'ferric', 'phos', 'phaseolus', 'sodium', 'whole', 'avena', 'acidum', 'mag', 'and', 'nitrate', 'nat', 'sulfate', 'trioxide', 'arsenic', 'off', 'spore']",iron,No,ferrous,No
1,Anticavity,"['peach', 'flavor', 'velvet', 'above', 'chlorohydroxy', 'precipitated', 'cotton', 'alcohol', 'tutti', 'dioxide', 'grape', 'acetate', 'mouthwash', 'and', 'strawberry', 'candy', 'type', 'silicon', 'smooth', 'dihydrate', 'cetylpyridinium', 'monoflourophosphate', 'carbonate', 'chloride', 'allantoinate', 'silica', 'protection', 'fluoride', 'sorbet', 'frutti', 'kids', 'flouride', 'whitening', 'anticaries', 'nirate', 'antiseptic', 'tocopherol', 'monofluorophosphate', 'vanilla', 'dental', 'hydrated', 'red', 'bubblegum', 'monoflurophospate', 'plus', 'cavity', 'mango', 'potassium', 'tocopheryl', 'chlorohydrate', 'mint', 'watermelon', 'aluminium', 'dicalcium', 'tea', 'gel', 'flavored', 'mipaste', 'whip', 'iced', 'mfp', 'toothpaste', 'alcloxa', 'one', 'monofluorophospate', 'benzalkonium', 'tablets', 'anticavity', 'phosphate', 'pyrophosphate', 'stannous', 'melon', 'sodium', 'with', 'nitrate', 'coconut', 'calcium', 'rinse', 'botao', 'banana']",fluoride,Yes,fluoride,Yes
2,Antifungal,"['molecular', 'sepia', 'talc', 'clotrimazole', 'miconazol', 'usp', 'meijer', 'nupharmisto', 'wellness', 'thuja', 'maximum', 'tioconazole', 'dermatitis', 'coltrimazole', 'repairessence', 'toe', 'way', 'and', 'family', 'peracetic', 'contagiosum', 'manuka', 'powder', 'free', 'hydroxytoluene', 'sneaker', 'acid', 'hpus', 'chloride', 'miconazorb', 'jock', 'af', 'athlete', 'zinc', 'foot', 'continuous', 'area', 'renewal', 'solution', 'cream', 'hydrochloride', 'serum', 'nail', 'undecylenate', 'homeopathic', 'oil', 'miconazole', 'to', 'eczema', 'whole', 'tolnaftateliquid', 'rugby', 'psoriasis', 'terbinafine', 'liquid', 'occidentalis', 'odor', 'spray', 'butylated', 'baking', 'tolnaftate', 'honey', 'benzalkonium', 'itch', 'molluscum', 'benzethonium', 'control', 'soda', 'fungus', 'with', 'undecylenic', 'butenafine', 'nitrate', 'treatment', 'fungal', 'strength', 'athletes', 'antifungal']",clotrimazole,Yes,miconazole,Yes
3,Anti-Hair loss,"['hair', 'salicylic', 'dexpanthenol', 'menthol', 'zinc', 'pyrithione', 'niacinamide', 'acid', 'panthenol', 'growth', 'biotin', 'l', 'minoxidil', 'serum']",minoxidil,Yes,minoxidil,Yes
4,Antihistamine,"['succinate', 'complete', 'allexpert', 'magnesium', 'chlorcyclizine', 'xl', 'ophthalmic', 'skin', 'choline', 'hcl', 'maximum', 'citrate', 'softgels', 'b', 'alcaftadine', 'drowsy', 'dihydrochloride', 'mg', 'alcohol', 'pamabrom', 'dextromethorhan', 'maleate', 'severe', 'diphenhydramine', 'night', 'phenylpehrine', 'diphenhydraime', 'codeine', 'and', 'ethyl', 'dextromethrophan', 'bitartrate', 'phenylephrine', 'cetirizine', 'outdoor', 'pseudoephedrine', 'loratadine', 'symptom', 'coretex', 'bacitracin', 'professional', 'flu', 'chlophedianol', 'carbonate', 'chlorpheniramine', 'allergy', 'calmco', 'ketotifen', 'cetiirizine', 'mucus', 'malaeate', 'chloride', 'antihistamine', 'meclizine', 'hydrocortisone', 'acetominophen', 'doxylamine', 'diphenylhydramine', 'guaifesesin', 'phenylepherine', 'dexbrompherniramine', 'pheniramine', 'pentoxyverine', 'anhydrous', 'thonzylamine', 'protection', 'salicylate', 'relief', 'fumarate', 'dexbromopheniramine', 'menstrual', 'dextromethorphan', 'acetaminophe', 'wallet', 'zinc', 'cough', 'refill', 'dm', 'hydcrochloride', 'aspirin', 'dexchlorpheniramine', 'phylephrine', 'multi', 'diphenhydrmaine', 'softgel', 'benzocaine', 'hydrobromide', 'time', 'neomycin', 'walgreens', 'fexofenadine', 'hci', 'levocetirizine', 'solution', 'hydrochloride', 'dextrmethorphan', 'potassium', 'medicine', 'pyrilamine', 'non', 'bromphiramine', 'pseufoephedrine', 'dexbrompheniramine', 'nightime', 'sinus', 'sulfate', 'tablet', 'brompheniramine', 'isopropyl', 'doxylaminesucinate', 'dextromethophan', 'daytime', 'nite', 'dyefree', 'allery', 'ibuprofen', 'olopatadine', 'caffeine', 'bismuth', 'menthol', 'nighttime', 'hbrdoxylamine', 'oxide', 'effervescent', 'dextrometrorphan', 'acetaminophen', 'benzalkonium', 'polymyxin', 'tablets', 'tripolidine', 'phosphate', 'subsalicylate', 'westussin', 'antitussive', 'hyrdochloride', 'hbr', 'ivy', 'water', 'guaifenesin', 'azelastine', 'aspire', 'oral', 'lidocaine', 'naphazoline', 'day', 'treatment', 'calcium', 'nf', 'strength', 'triprolidine', 'cold']",loratadine,Yes,cetirizine,Yes
5,Anti-itch,"['cool', 'magnesium', 'calendula', 'skin', 'white', 'aloe', 'olive', 'b', 'oleuropein', 'alcohol', 'camphor', 'dioxide', 'gelsemium', 'diphenhydramine', 'acetate', 'and', 'ethyl', 'veins', 'phenylephrine', 'robusta', 'titanium', 'outdoor', 'loratadine', 'varicose', 'coretex', 'bacitracin', 'daphne', 'professional', 'carbonate', 'barrier', 'sempervirens', 'chloride', 'meclizine', 'kaolin', 'hydrocortisone', 'hydrocortizone', 'protection', 'calamine', 'relief', 'dextromethorphan', 'wallet', 'zinc', 'refill', 'continuous', 'mezereum', 'benzocaine', 'hydrobromide', 'neomycin', 'cream', 'hydrochloride', 'ointment', 'potassium', 'pramoxine', 'chamomilla', 'glycerin', 'bark', 'sulfate', 'isopropyl', 'grindelia', 'extract', 'officinalis', 'ibuprofen', 'bismuth', 'menthol', 'oxide', 'spray', 'gel', 'anti', 'antipruritic', 'unspecified', 'acetaminophen', 'benzalkonium', 'polymyxin', 'itch', 'subsalicylate', 'melaleuca', 'water', 'guaifenesin', 'with', 'root', 'lidocaine', 'calcium', 'form', 'petrolatum', 'antifungal']",hydrocortisone,Yes,diphenhydramine,Yes
6,Anti-Seborrheic,"['salicylic', 'selenium', 'zinc', 'coal', 'pyrithione', 'tar', 'acid', 'sulfur', 'sulfide']",ketoconazole,No,ketoconazole,No
7,Anxiety,"['cypripedium', 'major', 'emotional', 'polycephalum', 'bryonia', 'carduus', 'indica', 'sus', 'serovar', 'asafoetida', 'gnaphalium', 'mimulus', 'vipera', 'cyclophosphoricum', 'berber', 'tyramine', 'serrulata', 'virginianum', 'thuja', 'quercetin', 'phosphoric', 'triphyllum', 'cornutum', 'maculatum', 'caninum', 'vomica', 'gelsemium', 'pineal', 'elettaria', 'pubescens', 'galphimia', 'aluminum', 'scrofa', 'githago', 'muta', 'taurus', 'carcinosin', 'discus', 'muscarius', 'ledum', 'hirta', 'sulphuris', 'aristolochia', 'cerasidera', 'berberis', 'carnea', 'mauritanica', 'hypothalamus', 'metallic', 'pulsatilla', 'horridus', 'zinc', 'cardamomum', 'cimicifuga', 'strontium', 'arsenic', 'bellis', 'muriatica', 'testosterone', 'adenosinum', 'canadensis', 'cochlearia', 'guttatus', 'stannum', 'heart', 'acer', 'ailanthus', 'sulphuratum', 'rudbeckia', 'iberis', 'album', 'hypericum', 'arnica', 'calcareum', 'membrane', 'potassium', 'natrum', 'top', 'crataegus', 'coffee', 'coumarinum', 'clematitis', 'bark', 'chrysanthum', 'dinatrum', 'sarcolacticum', 'cerasifera', 'muriaticum', 'juglans', 'elm', 'european', 'naja', 'moschus', 'condurango', 'plumbum', 'gold', 'spore', 'dhea', 'funiculus', 'bud', 'acetaldehyde', 'juice', 'sativa', 'oxalaceticum', 'napellus', 'aconitum', 'moschata', 'macropiper', 'tilia', 'nelumbo', 'cocculus', 'cuprum', 'quartz', 'disc', 'thiaminum', 'cepa', 'basil', 'spongia', 'panax', 'palustre', 'tigrinum', 'virginicus', 'prunus', 'uranium', 'caladium', 'iris', 'melatonin', 'root', 'scrophularia', 'agaricus', 'dopamine', 'spigelia', 'calcium', 'verbena', 'pratense', 'benzoicum', 'oophorinum', 'angustifolia', 'borax', 'viride', 'castus', 'hormone', 'protein', 'incarnata', 'cartilago', 'equisetum', 'perennis', 'bacillus', 'phos', 'sulfur', 'toxicodendron', 'histaminum', 'avena', 'corrosivus', 'glabra', 'cubensis', 'umbellatum', 'dissectum', 'decidua', 'onosmodium', 'nat', 'theridion', 'pimpernel', 'californica', 'agrimonia', 'anamirta', 'kali', 'alfalfa', 'vulgaris', 'daphne', 'aldosterone', 'symphytum', 'silicea', 'ferrum', 'virgaurea', 'candicans', 'nitricum', 'abrotanum', 'sulphur', 'fuchsia', 'rna', 'cistus', 'mutus', 'health', 'zinnia', 'cantharis', 'salix', 'lilium', 'serotonin', 'iron', 'cortisone', 'vernalis', 'iodium', 'montana', 'lac', 'iodatum', 'mezereum', 'dioica', 'iridium', 'vesiculosus', 'procumbens', 'agrostemma', 'anacardium', 'purpurea', 'ossis', 'nasturtium', 'whey', 'populus', 'tryptophan', 'oat', 'silver', 'ignatia', 'graphites', 'homeopathic', 'lachesis', 'vom', 'corticotropin', 'sativum', 'adonis', 'nuttallii', 'paeonia', 'tomentosa', 'trioxide', 'taraxacum', 'syzygium', 'saccharum', 'lecithin', 'suprarenalis', 'officinalis', 'strychnos', 'melissa', 'impatiens', 'anthelmia', 'zingiber', 'medulla', 'carbonicum', 'mur', 'formalinum', 'sulphuricum', 'nuphar', 'helianthemum', 'pullularia', 'hyoscyamus', 'digitalis', 'nicotinamidum', 'tenuis', 'solidago', 'virosa', 'cornus', 'tox', 'albicans', 'asiatica', 'aquilegia', 'bulbosus', 'excelsior', 'lycopus', 'cadmium', 'faecalis', 'hirsutula', 'nigrum', 'gland', 'lomatium', 'ostreae', 'jujuba', 'chloricum', 'radium', 'stramonium', 'fagopyrum', 'matricaria', 'peach', 'calendula', 'calcarea', 'valerianicum', 'seed', 'phosphorus', 'aloe', 'aurum', 'glycyrrhiza', 'olive', 'senna', 'arundo', 'tabebuia', 'americanus', 'aesculus', 'cayenne', 'tabacum', 'gaultheria', 'ornithogalum', 'echinacea', 'valeriana', 'cyclamen', 'niger', 'concha', 'typhi', 'quinquefolia', 'colocynthis', 'metal', 'hydrochloricum', 'clematis', 'clavatum', 'pituitary', 'vitalba', 'aralia', 'rhododendron', 'bos', 'tremuloides', 'alba', 'eggshell', 'sempervirens', 'chestnut', 'flowering', 'baryta', 'hornbeam', 'leonurus', 'piper', 'lavandula', 'esculentum', 'norepinephrine', 'gingko', 'convallaria', 'myrrha', 'pullulans', 'baptisia', 'arg', 'pancreas', 'met', 'alfala', 'glandulosus', 'maj', 'bean', 'larix', 'palladium', 'phytolacca', 'spicebush', 'phosphoricum', 'propolis', 'ammonium', 'salmonella', 'manganum', 'intervertebral', 'rhus', 'aspergillus', 'american', 'arsenicosum', 'zizipus', 'mellifica', 'impetiginosa', 'hydrated', 'angelica', 'holy', 'chionanthus', 'rheum', 'jambolanum', 'berus', 'glutamic', 'lilac', 'chamomilla', 'tarentula', 'adenosine', 'venom', 'chelidonium', 'triphosphoricum', 'hippocastanum', 'taurine', 'ruber', 'datura', 'versicolor', 'trifolium', 'praecipitatus', 'levothyroxine', 'methylcobalamin', 'nucifera', 'mercurius', 'ranunculus', 'majus', 'epifagus', 'virginica', 'liquid', 'adrenalinum', 'leaf', 'borage', 'ashwagandha', 'lactuca', 'agate', 'lithium', 'suis', 'proteus', 'erecta', 'belladonna', 'english', 'enterica', 'phosphate', 'natronatum', 'nadidum', 'merc', 'cynodon', 'lycopodium', 'tinctoria', 'picricum', 'selenium', 'euphrasia', 'secale', 'vulg', 'nux', 'staphysagria', 'indicus', 'flower', 'x', 'sepia', 'ignatii', 'humulus', 'mucor', 'officinale', 'aconite', 'viscum', 'parapsilosis', 'virginiana', 'cactus', 'majalis', 'nees', 'sabadilla', 'zincum', 'prunella', 'plantago', 'tripudians', 'racemosus', 'lambertii', 'orchitinum', 'causticum', 'eupatoria', 'cerevisiae', 'phaseolus', 'coffea', 'dl', 'acidum', 'argentum', 'and', 'carbonica', 'fermented', 'hyemale', 'corros', 'hastata', 'chininum', 'ephedra', 'glandulifera', 'cinchona', 'intervertebralis', 'scarlet', 'aur', 'bran', 'oxytropis', 'ginseng', 'pyridoxinum', 'glonoinum', 'aceticum', 'crotalus', 'fluorica', 'marianus', 'allium', 'arabica', 'flos', 'glandula', 'arum', 'acid', 'garlic', 'chloride', 'hypophysis', 'nodosa', 'triphosphate', 'boldo', 'fucus', 'carcinosinum', 'grandiflorus', 'sinensis', 'umbilicalis', 'folliculinum', 'thyroidinum', 'elaps', 'phosphorica', 'seguinum', 'sabal', 'archangelica', 'cardiaca', 'luteum', 'cerebrum', 'thymus', 'booster', 'adrenocorticotrophin', 'horse', 'hydrastis', 'iii', 'conium', 'decandra', 'lupulus', 'lateriflora', 'corallinus', 'perforatum', 'hydrochloride', 'eschscholtzia', 'agnus', 'gaba', 'whole', 'nit', 'tosta', 'magnesia', 'occ', 'riboflavinum', 'niacinamide', 'orientale', 'nigra', 'armoracia', 'grindelia', 'amara', 'alloxanum', 'extract', 'dactylon', 'glauca', 'carbolicum', 'hydrocotyle', 'arsenicum', 'veratrum', 'scutellaria', 'cruda', 'ruta', 'fraxinus', 'racemosa', 'ceanothus', 'passiflora', 'apis', 'nummularium', 'hepar', 'nicotinum', 'vera', 'methysticum', 'acetylcholine', 'missouriensis', 'platanus', 'candida', 'helonias', 'europaeum', 'hyoscyaminum', 'holmium', 'metallicum', 'torula', 'elegans', 'bromatum', 'nitrate', 'sulphurica', 'releasing', 'edulis', 'anemone', 'graveolens', 'cacao', 'alternaria']",xanax,No,melatonin,Yes
8,Arthritis,"['major', 'benzoicum', 'flower', 'aureum', 'eucalyptus', 'cool', 'venture', 'bryonia', 'sepia', 'matricaria', 'polycephalum', 'borax', 'sus', 'actaea', 'viscum', 'formicum', 'toxicodendren', 'virginiana', 'gnaphalium', 'calcarea', 'calendula', 'ac', 'arthritis', 'cyclophosphoricum', 'leafy', 'phosphorus', 'aurum', 'thuja', 'zincum', 'sanguinaria', 'meb', 'cartilago', 'plantago', 'calc', 'capsacin', 'atropa', 'causticum', 'aesculus', 'cornutum', 'mellifera', 'perennis', 'camphor', 'dioxide', 'phos', 'pain', 'caninum', 'sulfur', 'toxicodendron', 'pineal', 'embryo', 'croton', 'echinacea', 'formica', 'crude', 'acidum', 'pubescens', 'oxalosuccinate', 'nadide', 'capsicum', 'sarsaparilla', 'osteoarthritis', 'argentum', 'and', 'autumnale', 'carbonica', 'concha', 'diclofenac', 'scrofa', 'silicon', 'colocynthis', 'cartilage', 'cinchona', 'clavatum', 'kali', 'vulgaris', 'shell', 'rhododendron', 'fruit', 'aceticum', 'prom', 'fluorica', 'silicea', 'ledum', 'pantothenic', 'glandula', 'alba', 'carbonate', 'acid', 'flowering', 'sulphur', 'colchium', 'umbilical', 'berberis', 'recovery', 'urtica', 'balm', 'ascorbic', 'calcitonin', 'colchicum', 'dulcamara', 'baptisia', 'achillea', 'salicylate', 'recutita', 'hamamelis', 'solanum', 'relief', 'as', 'vanillyl', 'pulsatilla', 'apiolum', 'zinc', 'green', 'diethyl', 'cimicifuga', 'latifolia', 'phosphorica', 'palladium', 'phytolacca', 'bellis', 'fluor', 'barium', 'human', 'ammonium', 'methyl', 'adenosinum', 'intervertebral', 'montana', 'lac', 'luteoalbum', 'rufa', 'canadensis', 'rhus', 'comfrey', 'pseudognaphalium', 'n', 'topical', 'dioica', 'mellifica', 'llc', 'procumbens', 'ossis', 'thalamus', 'cord', 'decandra', 'nonylamide', 'hypericum', 'album', 'arnica', 'dibasic', 'placenta', 'trolamine', 'perforatum', 'lipoic', 'potassium', 'natrum', 'tomentosum', 'doicia', 'radicans', 'chamomilla', 'top', 'venenata', 'spicata', 'bark', 'chrysanthum', 'whole', 'hipp', 'tribasic', 'hippocastanum', 'kalmia', 'magnesia', 'by', 'go', 'mag', 'muriaticum', 'ruber', 'praecipitatus', 'mercurius', 'ranunculus', 'chlorine', 'millefolium', 'stem', 'extract', 'spore', 'occidentalis', 'suprarenalis', 'leaf', 'coenzyme', 'salicylicum', 'officinalis', 'ibuprofen', 'citrullus', 'coriander', 'menthol', 'medulla', 'rheumatoid', 'gel', 'ruta', 'carbonicum', 'zeyheri', 'bulb', 'patch', 'racemosa', 'lithium', 'aconitum', 'napellus', 'pulp', 'suis', 'apis', 'a', 'cuprum', 'unspecified', 'salicylic', 'opticus', 'capsaicin', 'disc', 'alpha', 'oyster', 'belladonna', 'harpagophytum', 'phosphate', 'montanaroot', 'lubracane', 'palustre', 'lycopodium', 'restore', 'tinctoria', 'nicotinate', 'picricum', 'wang', 'tox', 'mehtyl', 'errosoferric', 'cohosh', 'heat', 'bulbosus', 'sodium', 'twig', 'oxalacetate', 'rhododenron', 'carb', 'root', 'metallicum', 'secale', 'gland', 'lidocaine', 'bromatum', 'calcium', 'ferrosoferric', 'ostreae', 'anemone', 'graveolens', 'tiglium', 'melatonin', 'radium', 'black']",ibuprofen,Yes,ibuprofen,Yes
9,Asthma,"['eucalyptus', 'allersode', 'ginger', 'house', 'officinale', 'ipecacuanha', 'magnesium', 'zincum', 'meb', 'glycyrrhiza', 'dust', 'asthmatica', 'quercetin', 'rutin', 'inflata', 'californicum', 'gluconate', 'camphor', 'maleate', 'eriodictyon', 'coffea', 'vomica', 'tabacum', 'histaminum', 'inhalants', 'kidney', 'avena', 'glabra', 'acidum', 'kali', 'alfalfa', 'foetidus', 'vulgaris', 'intestine', 'silicea', 'chamomila', 'ribes', 'virgaurea', 'lymph', 'acid', 'indolum', 'berberis', 'dihydricum', 'gallicum', 'ammonia', 'gluconicum', 'dextromethorphan', 'blatta', 'malvin', 'iodatum', 'tylophora', 'lacticum', 'citrus', 'hydrobromide', 'mite', 'lung', 'album', 'orientalis', 'potassium', 'natrum', 'pothos', 'oil', 'coumarinum', 'chelidonium', 'galium', 'sarcolacticum', 'cinnamic', 'sambucus', 'chlorheniramine', 'nigra', 'taraxacum', 'majus', 'arsenicum', 'ibuprofen', 'menthol', 'cruda', 'sativa', 'carbonicum', 'suis', 'hepar', 'opulus', 'lobelia', 'sulphuricum', 'quebracho', 'belladonna', 'solidago', 'chinensis', 'schisandra', 'nigrum', 'limonum', 'viburnum', 'nux', 'node', 'oxygenium', 'aparine', 'naphthalinum']",albuterol,No,albuterol,No
